word,frequency,year
will,48,2001
must,38,2001
budget,26,2001
tax,22,2001
government,17,2001
one,16,2001
can,16,2001
money,15,2001
social,15,2001
security,15,2001
years,15,2001
america,14,2001
people,14,2001
help,13,2001
year,13,2001
energy,13,2001
health,13,2001
make,12,2001
work,12,2001
good,12,2001
country,12,2001
care,12,2001
medicare,11,2001
new,11,2001
children,11,2001
will,49,2002
america,33,2002
security,19,2002
must,18,2002
world,17,2002
american,15,2002
new,13,2002
terror,13,2002
good,13,2002
weapons,12,2002
people,12,2002
war,12,2002
nation,11,2002
jobs,11,2002
freedom,10,2002
terrorists,10,2002
now,10,2002
afghanistan,10,2002
country,10,2002
terrorist,10,2002
citizens,9,2002
congress,9,2002
states,9,2002
great,8,2002
camps,8,2002
will,53,2003
people,31,2003
weapons,27,2003
world,25,2003
america,23,2003
country,20,2003
saddam,19,2003
hussein,19,2003
must,18,2003
many,17,2003
americans,17,2003
united,15,2003
every,15,2003
american,14,2003
one,14,2003
can,14,2003
us,14,2003
year,13,2003
nation,13,2003
years,13,2003
government,12,2003
nuclear,12,2003
million,12,2003
new,11,2003
war,11,2003
will,43,2004
america,31,2004
can,31,2004
people,19,2004
must,18,2004
help,17,2004
health,17,2004
act,15,2004
new,15,2004
law,15,2004
iraq,14,2004
economy,14,2004
americans,14,2004
tonight,13,2004
american,13,2004
one,13,2004
children,13,2004
congress,12,2004
world,12,2004
war,12,2004
work,12,2004
free,11,2004
schools,11,2004
us,11,2004
country,11,2004
will,59,2005
security,29,2005
must,29,2005
make,21,2005
people,18,2005
freedom,18,2005
social,18,2005
country,16,2005
new,15,2005
america,15,2005
congress,15,2005
workers,14,2005
world,14,2005
now,14,2005
us,14,2005
government,14,2005
terror,14,2005
americans,14,2005
benefits,13,2005
iraq,13,2005
system,13,2005
every,13,2005
nation,12,2005
retirement,12,2005
years,12,2005
will,62,2006
america,38,2006
world,27,2006
us,22,2006
people,21,2006
must,20,2006
american,18,2006
country,17,2006
economy,16,2006
can,16,2006
freedom,15,2006
nation,15,2006
also,14,2006
new,13,2006
congress,12,2006
every,12,2006
year,11,2006
make,11,2006
tonight,11,2006
one,11,2006
years,11,2006
act,10,2006
support,10,2006
life,10,2006
lead,10,2006
will,34,2007
us,29,2007
america,24,2007
must,18,2007
health,18,2007
people,17,2007
help,17,2007
can,17,2007
need,16,2007
iraq,16,2007
new,15,2007
government,15,2007
terrorists,14,2007
country,14,2007
insurance,14,2007
work,13,2007
take,13,2007
congress,12,2007
tonight,12,2007
united,12,2007
americans,12,2007
forces,11,2007
states,11,2007
years,11,2007
great,10,2007
will,54,2008
people,30,2008
america,30,2008
must,29,2008
congress,27,2008
new,25,2008
year,24,2008
us,23,2008
iraq,21,2008
can,20,2008
help,19,2008
american,19,2008
nation,18,2008
trust,17,2008
also,17,2008
terrorists,14,2008
future,13,2008
world,13,2008
forces,13,2008
last,13,2008
iraqi,12,2008
ask,12,2008
country,12,2008
years,11,2008
come,11,2008
will,82,2009
can,26,2009
american,25,2009
know,22,2009
economy,22,2009
plan,21,2009
people,20,2009
new,20,2009
health,20,2009
every,20,2009
us,19,2009
care,18,2009
now,18,2009
america,17,2009
also,16,2009
must,15,2009
years,15,2009
education,14,2009
jobs,14,2009
energy,14,2009
time,14,2009
one,13,2009
budget,13,2009
americans,13,2009
make,12,2009
will,61,2010
people,32,2010
americans,28,2010
year,26,2010
one,25,2010
can,24,2010
jobs,23,2010
new,20,2010
work,20,2010
years,20,2010
us,19,2010
american,18,2010
america,18,2010
time,18,2010
families,17,2010
know,17,2010
now,17,2010
businesses,17,2010
two,16,2010
take,16,2010
small,15,2010
right,15,2010
economy,15,2010
energy,15,2010
thats,15,2010
will,58,2011
can,37,2011
new,36,2011
us,33,2011
people,31,2011
now,25,2011
jobs,25,2011
years,25,2011
thats,24,2011
make,23,2011
just,21,2011
work,20,2011
american,19,2011
america,18,2011
government,18,2011
last,18,2011
know,17,2011
tonight,17,2011
need,16,2011
want,15,2011
year,15,2011
future,15,2011
world,15,2011
nation,15,2011
one,15,2011
will,57,2012
american,33,2012
jobs,33,2012
america,29,2012
new,27,2012
right,26,2012
one,26,2012
can,26,2012
thats,24,2012
get,24,2012
tax,23,2012
energy,23,2012
every,22,2012
people,21,2012
now,20,2012
americans,20,2012
year,19,2012
like,19,2012
we've,18,2012
years,18,2012
country,17,2012
cant,16,2012
work,16,2012
back,16,2012
time,16,2012
will,58,2013
jobs,31,2013
can,24,2013
new,23,2013
america,23,2013
now,22,2013
years,22,2013
lets,20,2013
make,19,2013
tonight,19,2013
us,19,2013
people,18,2013
must,18,2013
like,18,2013
american,18,2013
energy,18,2013
families,17,2013
congress,17,2013
work,17,2013
year,17,2013
right,16,2013
even,16,2013
need,14,2013
every,14,2013
education,14,2013
will,41,2014
can,35,2014
help,31,2014
new,29,2014
america,28,2014
work,27,2014
americans,27,2014
every,24,2014
people,24,2014
jobs,23,2014
make,22,2014
american,21,2014
years,21,2014
congress,20,2014
one,20,2014
us,20,2014
like,19,2014
thats,19,2014
lets,19,2014
get,17,2014
year,16,2014
just,15,2014
businesses,15,2014
tonight,14,2014
first,14,2014
new,41,2015
will,35,2015
america,35,2015
us,29,2015
thats,29,2015
years,25,2015
every,24,2015
can,24,2015
make,23,2015
need,22,2015
people,22,2015
want,21,2015
time,21,2015
like,20,2015
work,20,2015
country,19,2015
american,19,2015
one,19,2015
world,18,2015
economy,18,2015
jobs,18,2015
americans,18,2015
now,17,2015
lets,17,2015
families,16,2015
us,33,2016
thats,30,2016
world,24,2016
will,22,2016
people,21,2016
america,21,2016
work,20,2016
can,20,2016
years,18,2016
year,17,2016
make,17,2016
just,16,2016
new,16,2016
american,16,2016
now,15,2016
economy,15,2016
change,15,2016
americans,15,2016
want,14,2016
we've,14,2016
every,14,2016
see,13,2016
need,13,2016
better,13,2016
even,13,2016
